CiudaddeMexico,TolucadeLerdo,79.595
CiudaddeMexico,Cuernavaca,107.552
CiudaddeMexico,PuebladeZaragoza,150.881
PuebladeZaragoza,OaxacadeJuarez,345.632
PuebladeZaragoza,ChilpancingodelosBravo,285.651
PuebladeZaragoza,XalapaEnriquez,183.735
PuebladeZaragoza,TlaxcaladeXicohtencatl,42.487
PuebladeZaragoza,Cuernavaca,153.241
PuebladeZaragoza,TolucadeLerdo,189.682
PuebladeZaragoza,PachucadeSoto,144.009
PuebladeZaragoza,CiudaddeMexico,149.035
Guadalajara,Colima,189.741
Guadalajara,Morelia,289.16
Guadalajara,Guanajuato,278.867
Guadalajara,Aguascalientes,222.184
Guadalajara,Zacatecas,354.488
Guadalajara,Tepic,206.284
Monterrey,Saltillo,92.746
Monterrey,CiudadVictoria,286.816
Monterrey,SanLuisPotosi,521.193
Chihuahua,Hermosillo,894.899
Chihuahua,CuliacanRosales,1162.991
Chihuahua,VictoriadeDurango,704.394
Chihuahua,Saltillo,752.58
Merida,SanFranciscodeCampeche,179.531
Merida,Chetumal,382.763
Saltillo,Monterrey,89.335
Saltillo,SanLuisPotosi,447.564
Saltillo,VictoriadeDurango,500.613
Saltillo,Chihuahua,758.518
Saltillo,Zacatecas,382.08
Aguascalientes,Zacatecas,126.575
Aguascalientes,Guadalajara,222.071
Hermosillo,CuliacanRosales,726.887
Hermosillo,Chihuahua,908.886
Hermosillo,Mexicali,686.615
Mexicali,LaPaz,1356.041
Mexicali,Hermosillo,685.916
SanLuisPotosi,Saltillo,448.006
SanLuisPotosi,Monterrey,517.096
SanLuisPotosi,CiudadVictoria,336.825
SanLuisPotosi,XalapaEnriquez,670.001
SanLuisPotosi,PachucadeSoto,423.702
SanLuisPotosi,SantiagodeQueretaro,216.637
SanLuisPotosi,Guanajuato,199.35
SanLuisPotosi,Zacatecas,193.887
CuliacanRosales,Hermosillo,698.262
CuliacanRosales,Chihuahua,1126.263
CuliacanRosales,VictoriadeDurango,465.022
CuliacanRosales,Tepic,484.156
CuliacanRosales,LaPaz,464.89
SantiagodeQueretaro,Guanajuato,151.781
SantiagodeQueretaro,PachucadeSoto,223.617
SantiagodeQueretaro,TolucadeLerdo,195.607
SantiagodeQueretaro,SanLuisPotosi,210.436
SantiagodeQueretaro,Morelia,190.326
Morelia,Colima,473.903
Morelia,Guadalajara,287.798
Morelia,Guanajuato,179.208
Morelia,SantiagodeQueretaro,188.515
Morelia,TolucadeLerdo,232.585
Morelia,ChilpancingodelosBravo,564.913
VictoriadeDurango,CuliacanRosales,464.329
VictoriadeDurango,Chihuahua,715.551
VictoriadeDurango,Saltillo,504.799
VictoriadeDurango,Zacatecas,291.216
VictoriadeDurango,Tepic,472.726
TuxtlaGutierrez,OaxacadeJuarez,567.924
TuxtlaGutierrez,XalapaEnriquez,680.351
TuxtlaGutierrez,Villahermosa,249.405
XalapaEnriquez,Villahermosa,588.887
XalapaEnriquez,TuxtlaGutierrez,672.326
XalapaEnriquez,OaxacadeJuarez,430.294
XalapaEnriquez,PuebladeZaragoza,180.173
XalapaEnriquez,PachucadeSoto,282.641
XalapaEnriquez,SanLuisPotosi,667.583
XalapaEnriquez,CiudadVictoria,632.386
XalapaEnriquez,SanFranciscodeCampeche,972.347
Tepic,CuliacanRosales,481.222
Tepic,VictoriadeDurango,470.121
Tepic,Zacatecas,554.258
Tepic,Guadalajara,202.75
Cuernavaca,CiudaddeMexico,108.076
Cuernavaca,TolucadeLerdo,136.225
Cuernavaca,PuebladeZaragoza,154.652
Cuernavaca,ChilpancingodelosBravo,192.38
Villahermosa,SanFranciscodeCampeche,383.602
Villahermosa,TuxtlaGutierrez,250.077
Villahermosa,XalapaEnriquez,596.986
CiudadVictoria,Monterrey,287.371
CiudadVictoria,SanLuisPotosi,334.241
CiudadVictoria,XalapaEnriquez,634.175
PachucadeSoto,SantiagodeQueretaro,224.188
PachucadeSoto,SanLuisPotosi,423.831
PachucadeSoto,XalapaEnriquez,282.825
PachucadeSoto,PuebladeZaragoza,144.301
PachucadeSoto,TlaxcaladeXicohtencatl,124.981
PachucadeSoto,TolucadeLerdo,159.413
OaxacadeJuarez,ChilpancingodelosBravo,630.041
OaxacadeJuarez,PuebladeZaragoza,341.804
OaxacadeJuarez,XalapaEnriquez,439.13
OaxacadeJuarez,TuxtlaGutierrez,563.763
LaPaz,Mexicali,1355.615
LaPaz,CuliacanRosales,494.087
SanFranciscodeCampeche,Merida,179.706
SanFranciscodeCampeche,Chetumal,418.836
SanFranciscodeCampeche,Villahermosa,384.233
SanFranciscodeCampeche,XalapaEnriquez,978.653
ChilpancingodelosBravo,OaxacadeJuarez,629.092
ChilpancingodelosBravo,PuebladeZaragoza,285.645
ChilpancingodelosBravo,Cuernavaca,194.298
ChilpancingodelosBravo,TolucadeLerdo,331.827
ChilpancingodelosBravo,Morelia,561.011
TolucadeLerdo,ChilpancingodelosBravo,330.787
TolucadeLerdo,Morelia,228.298
TolucadeLerdo,SantiagodeQueretaro,195.05
TolucadeLerdo,PachucadeSoto,151.527
TolucadeLerdo,TlaxcaladeXicohtencatl,179.32
TolucadeLerdo,PuebladeZaragoza,190.698
TolucadeLerdo,Cuernavaca,134.499
TolucadeLerdo,CiudaddeMexico,78.507
Chetumal,Merida,383.588
Chetumal,SanFranciscodeCampeche,419.445
Colima,Guadalajara,195.084
Colima,Morelia,478.137
Zacatecas,Aguascalientes,125.834
Zacatecas,Guadalajara,351.986
Zacatecas,VictoriadeDurango,291.457
Zacatecas,Saltillo,374.921
Zacatecas,SanLuisPotosi,189.059
Zacatecas,Tepic,556.089
Guanajuato,SanLuisPotosi,191.642
Guanajuato,Guadalajara,277.515
Guanajuato,Morelia,180.199
Guanajuato,SantiagodeQueretaro,153.015
TlaxcaladeXicohtencatl,PachucadeSoto,130.358
TlaxcaladeXicohtencatl,TolucadeLerdo,183.958
TlaxcaladeXicohtencatl,PuebladeZaragoza,39.932
